condition,set_id,text,perplexity,mean_entropy,mean_surprisal,mean_word_entropy,mean_word_surprisal,n_tokens,n_words
grammatical,1,the teacher was explaining the concept to the students clearly,99.74388885498047,7.185684310065375,6.640156005928328,7.185684310065375,6.640156005928328,9,10
grammatical,2,the artist decided to paint the beautiful landscape yesterday,370.97186279296875,7.830604553222656,8.535164740198308,7.830604553222656,8.535164740198308,8,9
grammatical,3,the engineer wanted to design the new building carefully,255.5993194580078,7.94231715798378,7.997738575871617,7.94231715798378,7.997738575871617,8,9
grammatical,4,the musician began to play the complex symphony beautifully,234.94345092773438,7.446093440055847,7.876168363615831,7.938848488032818,8.049191359564455,9,9
grammatical,5,the researcher hoped to publish the important findings soon,245.2727508544922,6.671673685312271,7.938242599940424,6.671673685312271,7.938242599940424,8,9
scrambled,1,the clearly was concept the explaining to the students teacher,2280.4892578125,9.00811078813341,11.155121759143313,9.00811078813341,11.155121759143313,9,10
scrambled,2,the yesterday decided to beautiful the paint landscape artist,8340.927734375,8.867663204669952,13.025970936082526,8.867663204669952,13.025970936082526,8,9
scrambled,3,the carefully wanted to new the design building engineer,6192.28857421875,9.713681995868683,12.596253871113245,9.713681995868683,12.596253871113245,8,9
scrambled,4,the beautifully began to complex the play symphony musician,3628.98291015625,7.998555077446832,11.825327119105424,8.543513923883438,12.180081424426358,9,9
scrambled,5,the soon hoped to important the publish findings researcher,38505.91015625,7.5752639174461365,15.232630288133898,7.5752639174461365,15.232630288133898,8,9
