essay_id,score,grade,ell,prompt_id,word_count,token_count,regime,burn_in_used,half_life,half_life_128,delta_max,delta_128,ppl_W32,ppl_W64,ppl_W128,ppl_W256,ppl_W384,ppl_W512,score_bin,length_bin
754CED955EFD,2,9,non_ELL,Does the electoral college work?,592,874,extended,512,75.12409416485485,66.81862971832602,3.841451478848578,3.382299197622375,14.286619776929385,12.673381550410102,10.90432057930701,10.464228956841913,10.44611997655005,10.445168298080807,low,3
86A511A55117,2,12,ELL,Distance learning,697,871,extended,512,97.13005626171737,51.98633332447591,8.70920502530895,4.818129254471941,27.985460706813054,24.128321589797324,23.167331452341113,20.068582464504193,19.011456880142685,19.276255681504104,low,3
B7C17E1993BA,1,9,non_ELL,Does the electoral college work?,610,859,extended,512,188.37928779509275,83.76482378627982,0.8090167087273219,0.12601001621633756,9.425302150657421,9.39044855935145,9.299292134441083,8.70889452319674,8.524690992795144,8.6162854419301,low,3
5FBEBF4F7E1D,3,9,non_ELL,Does the electoral college work?,675,858,extended,512,259.8361832615181,73.74228207582327,2.8039300129682125,1.2796329489029006,15.206972055035257,14.682038270260795,13.927339106132356,13.828754283270426,13.03639223045641,12.403042042067044,mid,3
2B9C5C3BB7B9,4,11,ELL,Distance learning,721,868,extended,512,126.83922918143627,73.84626838148907,3.06252422700425,1.547851000539195,12.892220272185526,12.259010433702896,11.34436927164633,10.775518478045912,9.954915429019309,9.829696045181276,mid,3
EBFCCFB520CF,4,10,non_ELL,Facial action coding system,749,864,extended,512,104.21526486733802,51.4544883547629,4.226354097292097,2.262479492431906,14.431834206455662,12.571097947614497,12.169354714023756,11.027515246407708,10.650011828834685,10.205480109163565,mid,3
A16CBD1B02FC,5,8,non_ELL,The Face on Mars,628,855,extended,512,159.83200309279908,61.94320473893488,5.67833495055315,2.033424937059449,12.493304572510734,11.406754242423771,10.459879635451285,7.219899902126775,6.887110990214608,6.814969621957584,high,3
D6DA25B584B2,5,11,non_ELL,Summer projects,754,850,extended,512,206.70513062456934,83.1957293260624,2.5391127469685184,0.9514922614056598,9.44312294271277,9.171203228901161,8.491630681307111,7.97435555549274,7.760899293755394,6.904010195744252,high,3
CC5894978F31,5,9,non_ELL,Does the electoral college work?,628,871,extended,512,237.23028179489125,77.36488203616899,2.875842557279517,0.9047367592709517,14.259773381848989,13.926805336879262,13.355036622578037,12.730231693415993,12.217304206410867,11.383930824569472,high,3
D50B2015BE66,2,9,non_ELL,Does the electoral college work?,699,954,extended,512,83.06496078874389,53.92218222535479,3.873029005622964,2.38979081224117,21.759771935096076,20.01557272158735,19.369981122854906,18.494417905774476,18.56552619456897,17.88674292947311,low,6
26432FDB0644,2,9,non_ELL,Summer projects,848,957,extended,512,105.37420722482194,54.9015059218725,4.337685523770414,2.427458845723743,16.15521931944467,14.45928973018191,13.727760473720926,12.803580728000066,12.556853030944357,11.817533795674255,low,6
EA04020F5ECD,2,8,ELL,Seeking multiple opinions,843,954,extended,512,110.49711248736817,95.33688429268892,3.8863033910709817,2.654326673526146,13.978054804664888,13.924167547695218,11.323728131138742,10.655941453274396,10.29643982015438,10.091751413593906,low,6
