condition,word_count,text,perplexity,mean_entropy,mean_surprisal,mean_word_entropy,mean_word_surprisal,n_tokens,n_words
courtroom,4,And you can use--,255.36273193359375,7.686878085136414,7.996398738378918,7.686878085136414,7.996398738378918,4,4
courtroom,4,they filled those tanks.,418.28472900390625,7.419108867645264,8.708341697879904,7.419108867645264,8.708341697879904,4,4
courtroom,4,recollection at that time,383.47283935546875,8.604844093322754,8.582977279925068,8.155898571014404,7.233631041913157,4,4
courtroom,4,"Maybe five, four, five.",49.361209869384766,6.200783173243205,5.625305740580685,6.678579747676849,6.305615060520701,6,4
courtroom,4,had that same arrangement.,258.156982421875,8.952821850776672,8.012104189305326,8.952821850776672,8.012104189305326,4,4
courtroom,4,I'm assuming all of,100.8680648803711,7.582539677619934,6.656325898871145,7.048120180765788,5.963430639553299,4,4
courtroom,4,"Mr. Nadeau, thank you.",32.6783561706543,6.264570962637663,5.030263379321099,5.119832716882229,3.6610346667666023,8,4
courtroom,4,And what was shipping?,575.273193359375,7.828103542327881,9.168095945001454,7.828103542327881,9.168095945001454,4,4
courtroom,4,It was somewhere here.,298.9702453613281,7.081291675567627,8.223857296737664,7.081291675567627,8.223857296737664,4,4
courtroom,4,"""Reserve salt filter press""?",3751.706787109375,8.355056285858154,11.873328844790144,8.079339345296225,12.203421957811928,6,4
courtroom,4,I'm not really sure.,24.123720169067383,6.998740291595459,4.592380625927103,6.4519758224487305,4.42315493800897,5,4
courtroom,4,-- to be reconditioned?,50.47496795654297,6.158001080155373,5.657496118110517,8.507036565802991,6.974183587746921,7,4
courtroom,4,"run the filter press,",733.1477661132812,9.752139568328857,9.517958967414389,9.752139568328857,9.517958967414389,4,4
courtroom,4,Metro-Atlantic and NECC facilities?,821.7672729492188,9.522941316877093,9.682584347571746,9.111477931340536,10.858221777979324,7,4
courtroom,4,That was the basement.,136.24392700195312,8.354721069335938,7.090045918891784,8.354721069335938,7.090045918891784,4,4
courtroom,4,Is that the Texas,227.74899291992188,9.64013417561849,7.831299955502852,9.64013417561849,7.831299955502852,3,4
courtroom,4,I'm not quite sure.,33.098148345947266,6.327578353881836,5.048678497610696,5.613023400306702,4.9935272776134605,5,4
courtroom,4,-- if you remember?,203.4732666015625,7.660206079483032,7.668695615184111,7.660206079483032,7.668695615184111,4,4
courtroom,4,Is that a different,60.41115951538086,9.567876497904459,5.916742675113116,9.567876497904459,5.916742675113116,3,4
courtroom,4,back to that building.,97.13064575195312,9.219205856323242,6.601854343028855,9.219205856323242,6.601854343028855,4,4
courtroom,4,-- at your deposition?,969.9374389648438,7.9864174127578735,9.92174627822744,7.9864174127578735,9.92174627822744,4,4
courtroom,4,This is 50 years,160.40135192871094,7.969539483388265,7.3255412661039605,7.969539483388265,7.3255412661039605,3,4
courtroom,4,Do you recall that?,72.3768539428711,7.726930499076843,6.177456219026703,7.726930499076843,6.177456219026703,4,4
courtroom,4,eight or nine months?,101.14279174804688,7.868663430213928,6.660249967990287,7.868663430213928,6.660249967990287,4,4
courtroom,4,Thank you for the,11.925664901733398,6.441887855529785,3.5759979223413985,6.441887855529785,3.5759979223413985,3,4
courtroom,4,-- not schooltime work?,1855.02392578125,7.498314571380615,10.85722130174375,7.780312597751617,10.446921270891343,5,4
courtroom,4,"No, I don't remember.",9.934992790222168,5.765337948842595,3.3125189318598487,5.759454790386371,3.1618346703358107,6,4
courtroom,4,We'll use your words.,90.17784881591797,8.08063325881958,6.494701193629615,7.898439049720764,6.203850331024362,5,4
courtroom,4,where they -- they,512.683349609375,8.9450577100118,9.001922063282466,8.9450577100118,9.001922063282466,3,4
courtroom,4,And what was there?,89.09423065185547,6.454800724983215,6.477259765374507,6.454800724983215,6.477259765374507,4,4
courtroom,4,copy of a plan.,54.97176742553711,9.163567662239075,5.780618641696646,9.163567662239075,5.780618641696646,4,4
courtroom,4,That I need clarification.,169.80393981933594,6.5922383069992065,7.407726827112761,6.5922383069992065,7.407726827112761,4,4
courtroom,4,I didn't walk those,268.4743347167969,5.729747322387993,8.068639868320362,6.6280278544873,8.929341631753687,4,4
courtroom,4,I just can't remember.,27.491453170776367,6.029666751623154,4.780911213218772,6.719715680927038,5.15325768383499,5,4
courtroom,4,things into the Dumpster?,75.40747833251953,8.124645352363586,6.236635405751102,8.940805653731028,6.96250132569224,6,4
courtroom,4,know when you're done.,28.15802001953125,7.819392585754395,4.815473979287789,7.869309902191162,4.998040695418646,5,4
courtroom,4,"This is Andrea Leshak,",249.12203979492188,8.27604071299235,7.96070152751419,8.61076577504476,9.017119025427274,6,4
courtroom,4,What does that mean?,11.004958152770996,6.116854727268219,3.46008172798009,6.116854727268219,3.46008172798009,4,4
courtroom,4,drying the reserve salt.,843.3406372070312,9.562526512145997,9.719968994019556,9.326485395431519,9.713339664590016,5,4
courtroom,4,I have no idea.,19.010639190673828,7.077270030975342,4.248735381308888,7.077270030975342,4.248735381308888,4,4
courtroom,4,Let me withdraw that,799.6617431640625,7.517611980438232,9.643244593928847,7.517611980438232,9.643244593928847,3,4
courtroom,4,look at Page 28.,240.4456024169922,7.215481519699097,7.9095665829876625,7.215481519699097,7.9095665829876625,4,4
courtroom,4,I can't remember that.,26.587514877319336,7.338827991485596,4.7326771483595005,7.660660684108734,5.096091052594852,5,4
courtroom,4,think it was --,315.546875,7.941818873087565,8.301709514966872,7.941818873087565,8.301709514966872,3,4
courtroom,4,I'd like to ask,15.069038391113281,6.073665767908096,3.913515372994072,5.353089054425557,3.5106071731798174,4,4
courtroom,4,They had bungs and,720.1563110351562,6.038162253797054,9.49216194793322,7.101516738533974,10.209430611262961,4,4
courtroom,4,And you've written previously,256.0181884765625,6.80644428730011,8.00010227502646,7.289096117019653,8.397756690567228,4,4
courtroom,4,There was a river,135.82566833496094,8.053796450297037,7.085611816744798,8.053796450297037,7.085611816744798,3,4
courtroom,4,Mr. Pirozzolo asked you,224.5738525390625,7.9955059460231235,7.811046192482045,8.079808076222738,7.896899379239225,7,4
courtroom,4,made before you left?,245.74288940429688,8.360791683197021,7.941005786867039,8.360791683197021,7.941005786867039,4,4
courtroom,4,That's a rough guess.,42.84364700317383,7.687987422943115,5.421008963607286,7.508846819400787,5.750598328244776,5,4
courtroom,4,I'm not sure --,96.35689544677734,7.318560361862183,6.590315494334656,6.696147759755452,7.030659533246329,4,4
