k,context,entropy,condition,position,target_word
1,can,10.825804710388184,courtroom,2,can
2,you can,7.526995658874512,courtroom,2,can
1,you,10.660537719726562,courtroom,1,you
2,And you,5.847406387329102,courtroom,1,you
1,filled,11.229516983032227,courtroom,1,filled
2,they filled,5.315115928649902,courtroom,1,filled
1,those,11.217927932739258,courtroom,2,those
2,filled those,11.081466674804688,courtroom,2,those
1,that,10.947566986083984,courtroom,2,that
2,at that,9.758613586425781,courtroom,2,that
1,at,11.502521514892578,courtroom,1,at
2,recollection at,10.441354751586914,courtroom,1,at
1,"five,",7.532170295715332,courtroom,1,"five,"
2,"Maybe five,",5.520175933837891,courtroom,1,"five,"
1,"four,",10.468917846679688,courtroom,2,"four,"
2,"five, four,",4.100592613220215,courtroom,2,"four,"
1,same,11.373035430908203,courtroom,2,same
2,that same,10.711481094360352,courtroom,2,same
1,that,10.947566986083984,courtroom,1,that
2,had that,8.788858413696289,courtroom,1,that
1,all,11.139111518859863,courtroom,2,all
2,assuming all,8.945578575134277,courtroom,2,all
1,assuming,10.845632553100586,courtroom,1,assuming
2,I'm assuming,5.30773401260376,courtroom,1,assuming
1,thank,9.742569923400879,courtroom,2,thank
2,"Nadeau, thank",0.67087721824646,courtroom,2,thank
1,"Nadeau,",10.122615814208984,courtroom,1,"Nadeau,"
2,"Mr. Nadeau,",7.491036415100098,courtroom,1,"Nadeau,"
1,was,10.896289825439453,courtroom,2,was
2,what was,6.962551116943359,courtroom,2,was
1,what,10.599081993103027,courtroom,1,what
2,And what,5.899942398071289,courtroom,1,what
1,somewhere,6.299148082733154,courtroom,2,somewhere
2,was somewhere,5.3053669929504395,courtroom,2,somewhere
1,was,10.896289825439453,courtroom,1,was
2,It was,8.293855667114258,courtroom,1,was
1,salt,9.89249038696289,courtroom,1,salt
2,"""Reserve salt",7.703902721405029,courtroom,1,salt
1,filter,10.853205680847168,courtroom,2,filter
2,salt filter,7.795300006866455,courtroom,2,filter
1,really,11.044758796691895,courtroom,2,really
2,not really,8.852477073669434,courtroom,2,really
1,not,10.92558479309082,courtroom,1,not
2,I'm not,6.414231300354004,courtroom,1,not
1,be,11.872392654418945,courtroom,2,be
2,to be,10.100297927856445,courtroom,2,be
1,to,11.301959037780762,courtroom,1,to
2,-- to,10.100417137145996,courtroom,1,to
1,the,12.734390258789062,courtroom,1,the
2,run the,12.470212936401367,courtroom,1,the
1,filter,10.853205680847168,courtroom,2,filter
2,the filter,8.666155815124512,courtroom,2,filter
1,and,11.574933052062988,courtroom,1,and
2,Metro-Atlantic and,10.773555755615234,courtroom,1,and
1,NECC,9.90854263305664,courtroom,2,NECC
2,and NECC,10.49996566772461,courtroom,2,NECC
1,was,10.896289825439453,courtroom,1,was
2,That was,7.756771087646484,courtroom,1,was
1,the,12.734390258789062,courtroom,2,the
2,was the,9.750276565551758,courtroom,2,the
1,the,12.734390258789062,courtroom,2,the
2,that the,12.474541664123535,courtroom,2,the
1,that,10.947566986083984,courtroom,1,that
2,Is that,7.520195484161377,courtroom,1,that
1,quite,10.716017723083496,courtroom,2,quite
2,not quite,7.1270270347595215,courtroom,2,quite
1,not,10.92558479309082,courtroom,1,not
2,I'm not,6.414231300354004,courtroom,1,not
1,if,11.083032608032227,courtroom,1,if
2,-- if,6.645553112030029,courtroom,1,if
1,you,10.660537719726562,courtroom,2,you
2,if you,6.188261985778809,courtroom,2,you
1,that,10.947566986083984,courtroom,1,that
2,Is that,7.520195484161377,courtroom,1,that
1,a,11.316549301147461,courtroom,2,a
2,that a,11.178461074829102,courtroom,2,a
1,to,11.301959037780762,courtroom,1,to
2,back to,10.462959289550781,courtroom,1,to
1,that,10.947566986083984,courtroom,2,that
2,to that,9.209742546081543,courtroom,2,that
1,at,11.502521514892578,courtroom,1,at
2,-- at,7.6858015060424805,courtroom,1,at
1,your,12.634740829467773,courtroom,2,your
2,at your,11.359382629394531,courtroom,2,your
1,50,10.484075546264648,courtroom,2,50
2,is 50,8.69425106048584,courtroom,2,50
1,is,11.129858016967773,courtroom,1,is
2,This is,6.711753845214844,courtroom,1,is
1,recall,9.789066314697266,courtroom,2,recall
2,you recall,6.171844005584717,courtroom,2,recall
1,you,10.660537719726562,courtroom,1,you
2,Do you,5.721115589141846,courtroom,1,you
1,nine,11.052030563354492,courtroom,2,nine
2,or nine,9.205913543701172,courtroom,2,nine
1,or,11.46521282196045,courtroom,1,or
2,eight or,6.807074069976807,courtroom,1,or
1,for,11.576336860656738,courtroom,2,for
2,you for,9.322333335876465,courtroom,2,for
1,you,10.660537719726562,courtroom,1,you
2,Thank you,4.041323661804199,courtroom,1,you
1,schooltime,8.041610717773438,courtroom,2,schooltime
2,not schooltime,6.973669528961182,courtroom,2,schooltime
1,not,10.92558479309082,courtroom,1,not
2,-- not,9.027544021606445,courtroom,1,not
1,I,11.117331504821777,courtroom,1,I
2,"No, I",5.294159889221191,courtroom,1,I
1,don't,7.345463752746582,courtroom,2,don't
2,I don't,4.23712158203125,courtroom,2,don't
1,your,12.634740829467773,courtroom,2,your
2,use your,11.491125106811523,courtroom,2,your
1,use,11.06351089477539,courtroom,1,use
2,We'll use,7.232500076293945,courtroom,1,use
1,they,10.613469123840332,courtroom,1,they
2,where they,7.527608394622803,courtroom,1,they
1,--,10.854382514953613,courtroom,2,--
2,they --,8.921353340148926,courtroom,2,--
1,what,10.599081993103027,courtroom,1,what
2,And what,5.899942398071289,courtroom,1,what
1,was,10.896289825439453,courtroom,2,was
2,what was,6.962551116943359,courtroom,2,was
1,of,12.024920463562012,courtroom,1,of
2,copy of,8.770500183105469,courtroom,1,of
1,a,11.316549301147461,courtroom,2,a
2,of a,11.749037742614746,courtroom,2,a
1,need,10.85104751586914,courtroom,2,need
2,I need,4.480420112609863,courtroom,2,need
1,I,11.117331504821777,courtroom,1,I
2,That I,6.534230709075928,courtroom,1,I
1,didn't,6.80245304107666,courtroom,1,didn't
2,I didn't,6.0472731590271,courtroom,1,didn't
1,walk,10.271895408630371,courtroom,2,walk
2,didn't walk,6.258393287658691,courtroom,2,walk
1,can't,7.6911139488220215,courtroom,2,can't
2,just can't,7.475881099700928,courtroom,2,can't
1,just,11.214090347290039,courtroom,1,just
2,I just,6.858152866363525,courtroom,1,just
1,into,11.359146118164062,courtroom,1,into
2,things into,8.182440757751465,courtroom,1,into
1,the,12.734390258789062,courtroom,2,the
2,into the,12.147523880004883,courtroom,2,the
1,you're,7.940345764160156,courtroom,2,you're
2,when you're,8.591085433959961,courtroom,2,you're
1,when,10.965540885925293,courtroom,1,when
2,know when,6.680232524871826,courtroom,1,when
1,is,11.129858016967773,courtroom,1,is
2,This is,6.711753845214844,courtroom,1,is
1,Andrea,10.079404830932617,courtroom,2,Andrea
2,is Andrea,10.278951644897461,courtroom,2,Andrea
1,that,10.947566986083984,courtroom,2,that
2,does that,6.767916679382324,courtroom,2,that
1,does,9.734188079833984,courtroom,1,does
2,What does,6.114275932312012,courtroom,1,does
1,the,12.734390258789062,courtroom,1,the
2,drying the,10.947711944580078,courtroom,1,the
1,reserve,10.207207679748535,courtroom,2,reserve
2,the reserve,8.538496017456055,courtroom,2,reserve
1,have,10.692431449890137,courtroom,1,have
2,I have,7.546214580535889,courtroom,1,have
1,no,11.925097465515137,courtroom,2,no
2,have no,9.906698226928711,courtroom,2,no
1,me,10.572490692138672,courtroom,1,me
2,Let me,6.839850902557373,courtroom,1,me
1,withdraw,3.905212640762329,courtroom,2,withdraw
2,me withdraw,6.285210609436035,courtroom,2,withdraw
1,at,11.502521514892578,courtroom,1,at
2,look at,6.2171478271484375,courtroom,1,at
1,Page,10.672101974487305,courtroom,2,Page
2,at Page,8.58680248260498,courtroom,2,Page
1,remember,9.751459121704102,courtroom,2,remember
2,can't remember,6.078930854797363,courtroom,2,remember
1,can't,7.6911139488220215,courtroom,1,can't
2,I can't,6.68705415725708,courtroom,1,can't
1,was,10.896289825439453,courtroom,2,was
2,it was,9.499979019165039,courtroom,2,was
1,it,10.897254943847656,courtroom,1,it
2,think it,5.381387710571289,courtroom,1,it
1,to,11.301959037780762,courtroom,2,to
2,like to,10.026898384094238,courtroom,2,to
1,like,11.612746238708496,courtroom,1,like
2,I'd like,1.216470718383789,courtroom,1,like
1,had,11.16131591796875,courtroom,1,had
2,They had,8.211103439331055,courtroom,1,had
1,bungs,9.510361671447754,courtroom,2,bungs
2,had bungs,6.640044212341309,courtroom,2,bungs
1,you've,6.253358840942383,courtroom,1,you've
2,And you've,4.869587421417236,courtroom,1,you've
1,written,10.453401565551758,courtroom,2,written
2,you've written,5.980563163757324,courtroom,2,written
1,was,10.896289825439453,courtroom,1,was
2,There was,5.128911018371582,courtroom,1,was
1,a,11.316549301147461,courtroom,2,a
2,was a,11.245882987976074,courtroom,2,a
1,Pirozzolo,8.406852722167969,courtroom,1,Pirozzolo
2,Mr. Pirozzolo,5.760092735290527,courtroom,1,Pirozzolo
1,asked,7.645595073699951,courtroom,2,asked
2,Pirozzolo asked,7.112493515014648,courtroom,2,asked
1,before,11.061224937438965,courtroom,1,before
2,made before,8.35381031036377,courtroom,1,before
1,you,10.660537719726562,courtroom,2,you
2,before you,7.7667741775512695,courtroom,2,you
1,a,11.316549301147461,courtroom,1,a
2,That's a,8.631867408752441,courtroom,1,a
1,rough,10.94762897491455,courtroom,2,rough
2,a rough,9.730904579162598,courtroom,2,rough
1,sure,10.030720710754395,courtroom,2,sure
2,not sure,4.483172416687012,courtroom,2,sure
1,not,10.92558479309082,courtroom,1,not
2,I'm not,6.414231300354004,courtroom,1,not
1,--,10.854382514953613,courtroom,2,--
2,track --,11.60378360748291,courtroom,2,--
1,track,11.33780574798584,courtroom,1,track
2,that track,8.533666610717773,courtroom,1,track
1,believe,6.32547664642334,courtroom,2,believe
2,I believe,5.561261177062988,courtroom,2,believe
1,I,11.117331504821777,courtroom,1,I
2,'62 I,9.57452392578125,courtroom,1,I
1,sure,10.030720710754395,courtroom,2,sure
2,not sure,4.483172416687012,courtroom,2,sure
1,not,10.92558479309082,courtroom,1,not
2,I'm not,6.414231300354004,courtroom,1,not
1,it,10.897254943847656,courtroom,2,it
2,believe it,5.1942458152771,courtroom,2,it
1,believe,6.32547664642334,courtroom,1,believe
2,I believe,5.561261177062988,courtroom,1,believe
1,trying,1.9951716661453247,courtroom,2,trying
2,not trying,0.8794125318527222,courtroom,2,trying
1,not,10.92558479309082,courtroom,1,not
2,I'm not,6.414231300354004,courtroom,1,not
1,of,12.024920463562012,courtroom,2,of
2,view of,8.777360916137695,courtroom,2,of
1,view,10.673666000366211,courtroom,1,view
2,In view,0.33139610290527344,courtroom,1,view
1,was,10.896289825439453,courtroom,2,was
2,salt was,9.900403022766113,courtroom,2,was
1,salt,9.89249038696289,courtroom,1,salt
2,reserve salt,7.174619674682617,courtroom,1,salt
1,would,10.050649642944336,courtroom,1,would
2,I would,6.116856098175049,courtroom,1,would
1,--,10.854382514953613,courtroom,2,--
2,would --,8.780343055725098,courtroom,2,--
1,you,10.660537719726562,courtroom,1,you
2,If you,6.00977087020874,courtroom,1,you
1,had,11.16131591796875,courtroom,2,had
2,you had,7.101855278015137,courtroom,2,had
1,was,10.896289825439453,courtroom,1,was
2,There was,5.128911018371582,courtroom,1,was
1,a,11.316549301147461,courtroom,2,a
2,was a,11.245882987976074,courtroom,2,a
1,of,12.024920463562012,courtroom,1,of
2,Department of,6.581630706787109,courtroom,1,of
1,"Justice,",10.513136863708496,courtroom,2,"Justice,"
2,"of Justice,",9.7772216796875,courtroom,2,"Justice,"
1,work,10.086380004882812,courtroom,1,work
2,would work,6.105981349945068,courtroom,1,work
1,both,11.42912769317627,courtroom,2,both
2,work both,7.573828220367432,courtroom,2,both
1,product,10.50231647491455,courtroom,1,product
2,the product,7.193179607391357,courtroom,1,product
1,was,10.896289825439453,courtroom,2,was
2,product was,9.321601867675781,courtroom,2,was
1,did,10.002723693847656,courtroom,1,did
2,We did,5.952290058135986,courtroom,1,did
1,stuff,10.790318489074707,courtroom,2,stuff
2,did stuff,5.812483310699463,courtroom,2,stuff
1,question,10.218716621398926,courtroom,2,question
2,the question,4.7983198165893555,courtroom,2,question
1,the,12.734390258789062,courtroom,1,the
2,So the,11.721261978149414,courtroom,1,the
1,or,11.46521282196045,courtroom,2,or
2,"""Pit"" or",3.9336204528808594,courtroom,2,or
1,"""Pit""",9.284932136535645,courtroom,1,"""Pit"""
2,"wrote ""Pit""",8.582318305969238,courtroom,1,"""Pit"""
1,like,11.612746238708496,courtroom,1,like
2,Something like,7.72914981842041,courtroom,1,like
1,"that,",7.383519172668457,courtroom,2,"that,"
2,"like that,",8.251550674438477,courtroom,2,"that,"
1,you,10.660537719726562,courtroom,2,you
2,said you,6.607026100158691,courtroom,2,you
1,said,9.272993087768555,courtroom,1,said
2,you said,6.2739081382751465,courtroom,1,said
1,it,10.897254943847656,courtroom,2,it
2,me it,7.195548057556152,courtroom,2,it
