k,context,entropy,condition,position,target_word
1,completely,11.112523078918457,anne_frank,2,completely
2,be completely,10.23924446105957,anne_frank,2,completely
1,be,11.872392654418945,anne_frank,1,be
2,You’d be,9.743313789367676,anne_frank,1,be
1,a,11.316549301147461,anne_frank,1,a
2,As a,9.407061576843262,anne_frank,1,a
1,"result,",10.540685653686523,anne_frank,2,"result,"
2,"a result,",8.0927095413208,anne_frank,2,"result,"
1,Daan,10.722151756286621,anne_frank,1,Daan
2,van Daan,9.485857963562012,anne_frank,1,Daan
1,is,11.129858016967773,anne_frank,2,is
2,Daan is,8.645389556884766,anne_frank,2,is
1,means,9.674763679504395,anne_frank,2,means
2,taps means,7.737044811248779,anne_frank,2,means
1,taps,8.255610466003418,anne_frank,1,taps
2,Three taps,6.307245254516602,anne_frank,1,taps
1,for,11.576336860656738,anne_frank,2,for
2,enough for,9.480381965637207,anne_frank,2,for
1,enough,10.28123664855957,anne_frank,1,enough
2,That’s enough,5.655201435089111,anne_frank,1,enough
1,and,11.574933052062988,anne_frank,2,and
2,selfish and,11.213214874267578,anne_frank,2,and
1,selfish,9.170414924621582,anne_frank,1,selfish
2,I’m selfish,5.959987640380859,anne_frank,1,selfish
1,long,11.913646697998047,anne_frank,1,long
2,Not long,2.686720371246338,anne_frank,1,long
1,ago,11.041464805603027,anne_frank,2,ago
2,long ago,4.782616138458252,anne_frank,2,ago
1,until,10.430421829223633,anne_frank,1,until
2,"Well, until",6.408566474914551,anne_frank,1,until
1,next,10.758065223693848,anne_frank,2,next
2,until next,5.539249420166016,anne_frank,2,next
1,was,10.896289825439453,anne_frank,1,was
2,Dussel was,9.41658878326416,anne_frank,1,was
1,already,10.248457908630371,anne_frank,2,already
2,was already,9.047961235046387,anne_frank,2,already
1,gotten,12.347860336303711,anne_frank,1,gotten
2,Margot’s gotten,9.262990951538086,anne_frank,1,gotten
1,much,10.719216346740723,anne_frank,2,much
2,gotten much,7.036389350891113,anne_frank,2,much
1,to,11.301959037780762,anne_frank,1,to
2,Impossible to,9.29133129119873,anne_frank,1,to
1,keep,11.215170860290527,anne_frank,2,keep
2,to keep,7.115776062011719,anne_frank,2,keep
1,and,11.574933052062988,anne_frank,2,and
2,Bep and,11.640157699584961,anne_frank,2,and
1,Bep,9.01503849029541,anne_frank,1,Bep
2,"Kleiman, Bep",7.310947418212891,anne_frank,1,Bep
1,der,11.486586570739746,anne_frank,2,der
2,Enifu”hruna der,11.472332954406738,anne_frank,2,der
1,Enifu”hruna,5.9135613441467285,anne_frank,1,Enifu”hruna
2,“Die Enifu”hruna,6.210233688354492,anne_frank,1,Enifu”hruna
1,can,10.825804710388184,anne_frank,1,can
2,I can,5.415952682495117,anne_frank,1,can
1,hardly,10.65077018737793,anne_frank,2,hardly
2,can hardly,6.8275251388549805,anne_frank,2,hardly
1,was,10.896289825439453,anne_frank,1,was
2,Jan was,9.370922088623047,anne_frank,1,was
1,already,10.248457908630371,anne_frank,2,already
2,was already,9.047961235046387,anne_frank,2,already
1,"usual,",10.035893440246582,anne_frank,2,"usual,"
2,"as usual,",8.4569730758667,anne_frank,2,"usual,"
1,as,11.068653106689453,anne_frank,1,as
2,"But, as",7.882055282592773,anne_frank,1,as
1,and,11.574933052062988,anne_frank,2,and
2,Daan and,10.966402053833008,anne_frank,2,and
1,Daan,10.722151756286621,anne_frank,1,Daan
2,van Daan,9.485857963562012,anne_frank,1,Daan
1,in,11.458725929260254,anne_frank,2,in
2,nod in,9.52604866027832,anne_frank,2,in
1,nod,10.53738784790039,anne_frank,1,nod
2,I nod,5.6194047927856445,anne_frank,1,nod
1,For,11.089787483215332,anne_frank,1,For
2,Alcohol: For,8.973671913146973,anne_frank,1,For
1,medicinal,10.757145881652832,anne_frank,2,medicinal
2,For medicinal,4.950996398925781,anne_frank,2,medicinal
1,purposes,5.4965996742248535,anne_frank,3,purposes
2,medicinal purposes,5.038307189941406,anne_frank,3,purposes
4,Alcohol: For medicinal purposes,3.5869252681732178,anne_frank,3,purposes
1,get,11.412823677062988,anne_frank,3,get
2,that get,9.271062850952148,anne_frank,3,get
4,Where would that get,4.5893073081970215,anne_frank,3,get
1,that,10.947566986083984,anne_frank,2,that
2,would that,6.059584140777588,anne_frank,2,that
1,would,10.050649642944336,anne_frank,1,would
2,Where would,4.431926727294922,anne_frank,1,would
1,s,10.52940559387207,anne_frank,2,s
2,Daan’ s,10.203851699829102,anne_frank,2,s
1,"ashtray,",11.123809814453125,anne_frank,3,"ashtray,"
2,"s ashtray,",10.61596393585205,anne_frank,3,"ashtray,"
4,"van Daan’ s ashtray,",10.711228370666504,anne_frank,3,"ashtray,"
1,Daan’,9.077057838439941,anne_frank,1,Daan’
2,van Daan’,8.319929122924805,anne_frank,1,Daan’
1,a,11.316549301147461,anne_frank,3,a
2,with a,11.642330169677734,anne_frank,3,a
4,A centipede with a,10.445721626281738,anne_frank,3,a
1,with,11.736027717590332,anne_frank,2,with
2,centipede with,9.040976524353027,anne_frank,2,with
1,centipede,7.471548557281494,anne_frank,1,centipede
2,A centipede,7.4058637619018555,anne_frank,1,centipede
1,a,11.316549301147461,anne_frank,3,a
2,with a,11.642330169677734,anne_frank,3,a
4,He disappears with a,10.09201717376709,anne_frank,3,a
1,disappears,5.947227478027344,anne_frank,1,disappears
2,He disappears,5.083628177642822,anne_frank,1,disappears
1,with,11.736027717590332,anne_frank,2,with
2,disappears with,8.832048416137695,anne_frank,2,with
1,know,10.400792121887207,anne_frank,1,know
2,I know,5.813540458679199,anne_frank,1,know
1,can,10.825804710388184,anne_frank,3,can
2,I can,5.415952682495117,anne_frank,3,can
4,I know I can,6.097917079925537,anne_frank,3,can
1,I,11.117331504821777,anne_frank,2,I
2,know I,6.420668601989746,anne_frank,2,I
1,a,11.316549301147461,anne_frank,2,a
2,of a,11.749037742614746,anne_frank,2,a
1,of,12.024920463562012,anne_frank,1,of
2,All of,4.273913860321045,anne_frank,1,of
1,sudden,9.1387357711792,anne_frank,3,sudden
2,a sudden,9.653838157653809,anne_frank,3,sudden
4,All of a sudden,4.017746448516846,anne_frank,3,sudden
1,we’ve,9.456878662109375,anne_frank,1,we’ve
2,Now we’ve,6.915199279785156,anne_frank,1,we’ve
1,each,11.865388870239258,anne_frank,3,each
2,found each,8.90982723236084,anne_frank,3,each
4,Now we’ve found each,4.523594856262207,anne_frank,3,each
1,found,11.049341201782227,anne_frank,2,found
2,we’ve found,6.853989601135254,anne_frank,2,found
1,to,11.301959037780762,anne_frank,2,to
